Student,Criteria,Ratings,Points ,Points Awarded,Final Grade ,Feedback 
Student_1,Functionality,Code completes without errors,25,25,100,Excellent job! Your code runs without errors and your functions are well-structured. Great attention to detail.
Student_1,Correctness/Style,Code is stylistically correct and works as planned.,25,25,100,Excellent job! Your code runs without errors and your functions are well-structured. Great attention to detail.
Student_1,Analytical Detail,"Analysis includes appropriate statistical tests, model performance metrics, and clear visual exploratory data analysis.",25,25,100,Excellent job! Your code runs without errors and your functions are well-structured. Great attention to detail.
Student_1,Checkpoint Completion,All checkpoints were submitted on time.,25,25,100,Excellent job! Your code runs without errors and your functions are well-structured. Great attention to detail.
Student_2 ,Functionality,Code completes without errors,25,18,67,Minor errors noted but your code runs for the majority.
Student_2 ,Correctness/Style,"There a few stylistic errors, but these could be corrected without a major code refactor or code fulfills most requirements, but not all.",25,14,67,Minor errors noted but your code runs for the majority.
Student_2 ,Analytical Detail,Analysis includes some visualizations or metrics but lacks depth or completeness.,25,10,67,Code meets most of the requirements but a few errors to be fixed.
Student_2 ,Checkpoint Completion,All checkpoints were submitted on time.,25,25,67,Minor errors noted but your code runs for the majority.
Student_3,Functionality,Code completes with a few simple errors that does not reflect a major bug in the code (i.e. it could be easily solvable).,25,14,69,Good try. Improvements to be made
Student_3,Correctness/Style,"There a few stylistic errors, but these could be corrected without a major code refactor or code fulfills most requirements, but not all.",25,15,69,Good try. Improvements to be made
Student_3,Analytical Detail,Analysis includes some visualizations or metrics but lacks depth or completeness.,25,15,69,Good try. Improvements to be made
Student_3,Checkpoint Completion,All checkpoints were submitted on time.,25,25,69,Good try. Improvements to be made
Student_4,Functionality,Code completes with a few simple errors that does not reflect a major bug in the code (i.e. it could be easily solvable).,25,12,60,"Your SQL code runs overall, but a few minor issues should be addressed. For example, you missed some join statements.These are small fixes and don’t indicate a major bug. Queries are well-structured and stylistically strong. The analysis includes appropriate tests, metrics, and clear visuals, showing solid reasoning. Be sure to submit all checkpoints on time to stay fully on track."
Student_4,Correctness/Style,Code is stylistically correct and works as planned.,25,18,60,"Your SQL code runs overall, but a few minor issues should be addressed. For example, you missed some join statements.These are small fixes and don’t indicate a major bug. Queries are well-structured and stylistically strong. The analysis includes appropriate tests, metrics, and clear visuals, showing solid reasoning. Be sure to submit all checkpoints on time to stay fully on track."
Student_4,Analytical Detail,"Analysis includes appropriate statistical tests, model performance metrics, and clear visual exploratory data analysis.",25,20,60,"Your SQL code runs overall, but a few minor issues should be addressed. For example, you missed some join statements.These are small fixes and don’t indicate a major bug. Queries are well-structured and stylistically strong. The analysis includes appropriate tests, metrics, and clear visuals, showing solid reasoning. Be sure to submit all checkpoints on time to stay fully on track."
Student_4,Checkpoint Completion,"Most, but not all, checkpoints were submitted on time.",25,10,60,"Your SQL code runs overall, but a few minor issues should be addressed. For example, you missed some join statements.These are small fixes and don’t indicate a major bug. Queries are well-structured and stylistically strong. The analysis includes appropriate tests, metrics, and clear visuals, showing solid reasoning. Be sure to submit all checkpoints on time to stay fully on track."
Student_5,Functionality,Code completes without errors,25,18,77,"Your submission was complete and code executed, but I noticed areas where optimization was missing (e.g., nested loops that could be replaced with vectorized operations). Style was acceptable, but avoid hardcoding values in your queries. Analysis lacked depth — metrics alone are not enough; explain what they mean in context. For example, when accuracy dropped by 5%, what might explain that change? Including interpretations will strengthen your analytical narrative."
Student_5,Correctness/Style,Code is stylistically correct and works as planned.,25,20,77,"Your submission was complete and code executed, but I noticed areas where optimization was missing (e.g., nested loops that could be replaced with vectorized operations). Style was acceptable, but avoid hardcoding values in your queries. Analysis lacked depth — metrics alone are not enough; explain what they mean in context. For example, when accuracy dropped by 5%, what might explain that change? Including interpretations will strengthen your analytical narrative."
Student_5,Analytical Detail,Analysis includes some visualizations or metrics but lacks depth or completeness.,25,14,77,"Your submission was complete and code executed, but I noticed areas where optimization was missing (e.g., nested loops that could be replaced with vectorized operations). Style was acceptable, but avoid hardcoding values in your queries. Analysis lacked depth — metrics alone are not enough; explain what they mean in context. For example, when accuracy dropped by 5%, what might explain that change? Including interpretations will strengthen your analytical narrative."
Student_5,Checkpoint Completion,All checkpoints were submitted on time.,25,25,77,"The submission was complete and code executed, but I noticed areas where optimization was missing (e.g., nested loops that could be replaced with vectorized operations). Style was acceptable, but avoid hardcoding values in your queries. Analysis lacked depth — metrics alone are not enough; explain what they mean in context. For example, when accuracy dropped by 5%, what might explain that change? Including interpretations will strengthen your analytical narrative."
Student_6,Functionality,Code completes with a few simple errors that does not reflect a major bug in the code (i.e. it could be easily solvable).,25,5,58,Code was incomplete however assignment was submitted on time
Student_6,Correctness/Style,"There a few stylistic errors, but these could be corrected without a major code refactor or code fulfills most requirements, but not all.",25,10,58,Code was incomplete however assignment was submitted on time
Student_6,Analytical Detail,"Analysis includes appropriate statistical tests, model performance metrics, and clear visual exploratory data analysis.",25,18,58,Code was incomplete however assignment was submitted on time
Student_6,Checkpoint Completion,Code is stylistically correct and works as planned.,25,25,58,Code was incomplete however assignment was submitted on time
Student_7,Functionality,Code completes without errors,25,25,90,Well done.
Student_7,Correctness/Style,Code is stylistically correct and works as planned.,25,25,90,Well done.
Student_7,Analytical Detail,Analysis includes some visualizations or metrics but lacks depth or completeness.,25,15,90,Well done.
Student_7,Checkpoint Completion,All checkpoints were submitted on time.,25,25,90,Well done.
Student_8,Functionality,Code completes without errors,25,20,80,"You demonstrated consistency across all areas, but each had small gaps. Pay special attention to query optimization and analysis depth."
